city,state,guide_title,guide_slug,cover_image_url,manual_intro,position,app_variant,place_position,place_name,place_description,place_image_url,navigation_link,lat,lng
Darwin,NT,Top 10 Snow Spots in Darwin,top-10-snow-spots-in-darwin,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/cover.jpg,"Darwin has no practical local snow product, so this is a fly-in snow guide for dedicated winter escapes. The list prioritises reliable Victorian, NSW/ACT and Tasmanian snow products that make sense as planned trips rather than day outings.",0,all,0,Mt Buller,"Major full-service Victorian alpine resort with village stays, lifts, lessons and snow play. Best time: June to late September, with July and August usually the strongest snow window. Winter entry, parking and chain rules apply during declared season.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/place-01-mt-buller.jpg,"https://maps.google.com/?q=-37.145278,146.426111",-37.145278,146.426111
Darwin,NT,Top 10 Snow Spots in Darwin,top-10-snow-spots-in-darwin,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/cover.jpg,"Darwin has no practical local snow product, so this is a fly-in snow guide for dedicated winter escapes. The list prioritises reliable Victorian, NSW/ACT and Tasmanian snow products that make sense as planned trips rather than day outings.",0,all,1,Falls Creek Alpine Resort,"Large Victorian alpine resort known for reliable snow cover, village stays, downhill terrain and cross-country trails. Best time: June to late September, with July and August usually the strongest snow window. Check current snow reports, road status, parking and chain requirements.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/place-02-falls-creek-alpine-resort.jpg,"https://maps.google.com/?q=-36.865000,147.273000",-36.865,147.273
Darwin,NT,Top 10 Snow Spots in Darwin,top-10-snow-spots-in-darwin,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/cover.jpg,"Darwin has no practical local snow product, so this is a fly-in snow guide for dedicated winter escapes. The list prioritises reliable Victorian, NSW/ACT and Tasmanian snow products that make sense as planned trips rather than day outings.",0,all,2,Mt Hotham,"High-altitude Victorian resort with strong snow culture, ski terrain and nearby snow-play options. Best time: June to late September, with July and August usually the strongest snow window. Weather, alpine roads and chain rules are essential planning checks.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/place-03-mt-hotham.jpg,"https://maps.google.com/?q=-36.975278,147.132778",-36.975278,147.132778
Darwin,NT,Top 10 Snow Spots in Darwin,top-10-snow-spots-in-darwin,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/cover.jpg,"Darwin has no practical local snow product, so this is a fly-in snow guide for dedicated winter escapes. The list prioritises reliable Victorian, NSW/ACT and Tasmanian snow products that make sense as planned trips rather than day outings.",0,all,3,Perisher Valley,"NSW's largest resort hub and a high-confidence anchor for resort skiing, lessons and family snow trips. Best time: the June to October snow season, with July and August usually the strongest snow window. Use current resort, road and Skitube information before travelling.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/place-04-perisher-valley.jpg,"https://maps.google.com/?q=-36.400000,148.416667",-36.4,148.416667
Darwin,NT,Top 10 Snow Spots in Darwin,top-10-snow-spots-in-darwin,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/cover.jpg,"Darwin has no practical local snow product, so this is a fly-in snow guide for dedicated winter escapes. The list prioritises reliable Victorian, NSW/ACT and Tasmanian snow products that make sense as planned trips rather than day outings.",0,all,4,Thredbo Village,"Village-led Snowy Mountains resort with long runs, lifts, sightseeing and a strong non-ski itinerary. Best time: the June to October snow season, with July and August usually the strongest snow window. Works best as a weekend or multi-night alpine trip.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/place-05-thredbo-village.jpg,"https://maps.google.com/?q=-36.504722,148.305556",-36.504722,148.305556
Darwin,NT,Top 10 Snow Spots in Darwin,top-10-snow-spots-in-darwin,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/cover.jpg,"Darwin has no practical local snow product, so this is a fly-in snow guide for dedicated winter escapes. The list prioritises reliable Victorian, NSW/ACT and Tasmanian snow products that make sense as planned trips rather than day outings.",0,all,5,Charlotte Pass,"Australia's highest resort village and a deep-winter Snowy Mountains classic. Best time: the June to October snow season, with July and August usually the strongest snow window. Winter access is by oversnow transport from Perisher.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/place-06-charlotte-pass.jpg,"https://maps.google.com/?q=-36.416667,148.333333",-36.416667,148.333333
Darwin,NT,Top 10 Snow Spots in Darwin,top-10-snow-spots-in-darwin,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/cover.jpg,"Darwin has no practical local snow product, so this is a fly-in snow guide for dedicated winter escapes. The list prioritises reliable Victorian, NSW/ACT and Tasmanian snow products that make sense as planned trips rather than day outings.",0,all,6,Selwyn Snow Resort,"Family and beginner-focused Snowy Mountains resort with tubing, tobogganing and gentler terrain. Best time: the June to October snow season, with July and August usually the strongest snow window. Check resort operations and Kosciuszko National Park entry conditions.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/place-07-selwyn-snow-resort.jpg,"https://maps.google.com/?q=-35.908333,148.450000",-35.908333,148.45
Darwin,NT,Top 10 Snow Spots in Darwin,top-10-snow-spots-in-darwin,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/cover.jpg,"Darwin has no practical local snow product, so this is a fly-in snow guide for dedicated winter escapes. The list prioritises reliable Victorian, NSW/ACT and Tasmanian snow products that make sense as planned trips rather than day outings.",0,all,7,Lake Mountain Alpine Resort,"Melbourne-side alpine resort built around snow play, cross-country skiing and first-timer winter days. Best time: June to late September, with July and August usually the strongest snow window. Check the daily snow, road and resort operations update before driving.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/place-08-lake-mountain-alpine-resort.jpg,"https://maps.google.com/?q=-37.504444,145.882222",-37.504444,145.882222
Darwin,NT,Top 10 Snow Spots in Darwin,top-10-snow-spots-in-darwin,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/cover.jpg,"Darwin has no practical local snow product, so this is a fly-in snow guide for dedicated winter escapes. The list prioritises reliable Victorian, NSW/ACT and Tasmanian snow products that make sense as planned trips rather than day outings.",0,all,8,Mt Baw Baw Alpine Resort,"Compact downhill and snow-play resort with beginner-friendly terrain, tobogganing and family appeal. Best time: June to late September, with July and August usually the strongest snow window. Lift, road and toboggan-area availability stay weather dependent.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/place-09-mt-baw-baw-alpine-resort.jpg,"https://maps.google.com/?q=-37.839444,146.275833",-37.839444,146.275833
Darwin,NT,Top 10 Snow Spots in Darwin,top-10-snow-spots-in-darwin,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/cover.jpg,"Darwin has no practical local snow product, so this is a fly-in snow guide for dedicated winter escapes. The list prioritises reliable Victorian, NSW/ACT and Tasmanian snow products that make sense as planned trips rather than day outings.",0,all,9,Ben Lomond Alpine Resort,"Tasmania's most resort-like snow destination with skiing, snowboarding, tobogganing and alpine-village facilities. Best time: mid-June to late September, depending on weather. Carry chains in winter and check shuttle or road conditions before climbing Jacobs Ladder.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-darwin/place-10-ben-lomond-alpine-resort.jpg,"https://maps.google.com/?q=-41.530000,147.650000",-41.53,147.65
