city,state,guide_title,guide_slug,cover_image_url,manual_intro,position,app_variant,place_position,place_name,place_description,place_image_url,navigation_link,lat,lng
Perth,WA,Top 10 Snow Spots in Perth,top-10-snow-spots-in-perth,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/cover.jpg,"Perth's local snow guide needs a clear split: rare but real Stirling Range snow-view windows, then interstate resorts for reliable snow. Treat the WA peaks as opportunistic winter cold-front trips, not guaranteed snow days.",0,all,0,Bluff Knoll,WA's best-known natural snow-view summit and the strongest local Perth snow-chasing option. Best time: after strong winter cold fronts only; snow is occasional and not guaranteed. Only visit in safe hiking and road conditions; snow can be brief.,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/place-01-bluff-knoll.jpg,"https://maps.google.com/?q=-34.373889,118.249722",-34.373889,118.249722
Perth,WA,Top 10 Snow Spots in Perth,top-10-snow-spots-in-perth,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/cover.jpg,"Perth's local snow guide needs a clear split: rare but real Stirling Range snow-view windows, then interstate resorts for reliable snow. Treat the WA peaks as opportunistic winter cold-front trips, not guaranteed snow days.",0,all,1,Toolbrunup Peak,High Stirling Range peak that can catch winter dustings from the same cold systems as Bluff Knoll. Best time: after strong winter cold fronts only; snow is occasional and not guaranteed. A hiking-first snow-view option for suitable weather windows only.,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/place-02-toolbrunup-peak.jpg,"https://maps.google.com/?q=-34.382000,118.052000",-34.382,118.052
Perth,WA,Top 10 Snow Spots in Perth,top-10-snow-spots-in-perth,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/cover.jpg,"Perth's local snow guide needs a clear split: rare but real Stirling Range snow-view windows, then interstate resorts for reliable snow. Treat the WA peaks as opportunistic winter cold-front trips, not guaranteed snow days.",0,all,2,Mount Trio,"Stirling Range trail and lookout area with a cold alpine feel during rare WA snow events. Best time: after strong winter cold fronts only; snow is occasional and not guaranteed. Use as a weather-window snow-view stop, not a reliable snow destination.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/place-03-mount-trio.jpg,"https://maps.google.com/?q=-34.354000,118.086000",-34.354,118.086
Perth,WA,Top 10 Snow Spots in Perth,top-10-snow-spots-in-perth,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/cover.jpg,"Perth's local snow guide needs a clear split: rare but real Stirling Range snow-view windows, then interstate resorts for reliable snow. Treat the WA peaks as opportunistic winter cold-front trips, not guaranteed snow days.",0,all,3,Mount Hassell,Another high Stirling Range trail that can sit in snow-bearing winter systems. Best time: after strong winter cold fronts only; snow is occasional and not guaranteed. Check park alerts and avoid exposed trails in unsafe weather.,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/place-04-mount-hassell.jpg,"https://maps.google.com/?q=-34.405000,118.019000",-34.405,118.019
Perth,WA,Top 10 Snow Spots in Perth,top-10-snow-spots-in-perth,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/cover.jpg,"Perth's local snow guide needs a clear split: rare but real Stirling Range snow-view windows, then interstate resorts for reliable snow. Treat the WA peaks as opportunistic winter cold-front trips, not guaranteed snow days.",0,all,4,"Eastern Lookout, Stirling Range",Roadside Stirling Range viewpoint that can work as an easier snow-view fallback when peaks are unsafe. Best time: after strong winter cold fronts only; snow is occasional and not guaranteed. Still depends on rare cold fronts and safe park-road access.,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/place-05-eastern-lookout-stirling-range.jpg,"https://maps.google.com/?q=-34.388900,118.267000",-34.3889,118.267
Perth,WA,Top 10 Snow Spots in Perth,top-10-snow-spots-in-perth,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/cover.jpg,"Perth's local snow guide needs a clear split: rare but real Stirling Range snow-view windows, then interstate resorts for reliable snow. Treat the WA peaks as opportunistic winter cold-front trips, not guaranteed snow days.",0,all,5,Mt Buller,"Major full-service Victorian alpine resort with village stays, lifts, lessons and snow play. Best time: June to late September, with July and August usually the strongest snow window. Winter entry, parking and chain rules apply during declared season.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/place-06-mt-buller.jpg,"https://maps.google.com/?q=-37.145278,146.426111",-37.145278,146.426111
Perth,WA,Top 10 Snow Spots in Perth,top-10-snow-spots-in-perth,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/cover.jpg,"Perth's local snow guide needs a clear split: rare but real Stirling Range snow-view windows, then interstate resorts for reliable snow. Treat the WA peaks as opportunistic winter cold-front trips, not guaranteed snow days.",0,all,6,Falls Creek Alpine Resort,"Large Victorian alpine resort known for reliable snow cover, village stays, downhill terrain and cross-country trails. Best time: June to late September, with July and August usually the strongest snow window. Check current snow reports, road status, parking and chain requirements.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/place-07-falls-creek-alpine-resort.jpg,"https://maps.google.com/?q=-36.865000,147.273000",-36.865,147.273
Perth,WA,Top 10 Snow Spots in Perth,top-10-snow-spots-in-perth,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/cover.jpg,"Perth's local snow guide needs a clear split: rare but real Stirling Range snow-view windows, then interstate resorts for reliable snow. Treat the WA peaks as opportunistic winter cold-front trips, not guaranteed snow days.",0,all,7,Mt Hotham,"High-altitude Victorian resort with strong snow culture, ski terrain and nearby snow-play options. Best time: June to late September, with July and August usually the strongest snow window. Weather, alpine roads and chain rules are essential planning checks.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/place-08-mt-hotham.jpg,"https://maps.google.com/?q=-36.975278,147.132778",-36.975278,147.132778
Perth,WA,Top 10 Snow Spots in Perth,top-10-snow-spots-in-perth,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/cover.jpg,"Perth's local snow guide needs a clear split: rare but real Stirling Range snow-view windows, then interstate resorts for reliable snow. Treat the WA peaks as opportunistic winter cold-front trips, not guaranteed snow days.",0,all,8,Perisher Valley,"NSW's largest resort hub and a high-confidence anchor for resort skiing, lessons and family snow trips. Best time: the June to October snow season, with July and August usually the strongest snow window. Use current resort, road and Skitube information before travelling.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/place-09-perisher-valley.jpg,"https://maps.google.com/?q=-36.400000,148.416667",-36.4,148.416667
Perth,WA,Top 10 Snow Spots in Perth,top-10-snow-spots-in-perth,https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/cover.jpg,"Perth's local snow guide needs a clear split: rare but real Stirling Range snow-view windows, then interstate resorts for reliable snow. Treat the WA peaks as opportunistic winter cold-front trips, not guaranteed snow days.",0,all,9,Thredbo Village,"Village-led Snowy Mountains resort with long runs, lifts, sightseeing and a strong non-ski itinerary. Best time: the June to October snow season, with July and August usually the strongest snow window. Works best as a weekend or multi-night alpine trip.",https://pcgdqsdiidtiziypvqri.supabase.co/storage/v1/object/public/make-1d591b90-guide-assets/city-guides/top-10-snow-spots-in-perth/place-10-thredbo-village.jpg,"https://maps.google.com/?q=-36.504722,148.305556",-36.504722,148.305556
